Time resolution is 1 ps
cntr: x flg:x messAddra:  x cmacAddra:  x messIn:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx cmacIn:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx in:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx cmacReg:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx encrypted:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx bufFlg:x messDone:x
cntr:15 flg:0 messAddra:  2 cmacAddra:  0 messIn:0707070909080a0c140d0c0b0b0c1912 cmacIn:ffd8ffe000104a464946000101000001 in:0707070909080a0c140d0c0b0b0c1912 cmacReg:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx encrypted:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx bufFlg:1 messDone:0
cntr:16 flg:0 messAddra:  2 cmacAddra:  0 messIn:0707070909080a0c140d0c0b0b0c1912 cmacIn:ffd8ffe000104a464946000101000001 in:0707070909080a0c140d0c0b0b0c1912 cmacReg:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx encrypted:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx bufFlg:1 messDone:0
cntr:17 flg:0 messAddra:  2 cmacAddra:  0 messIn:0707070909080a0c140d0c0b0b0c1912 cmacIn:ffd8ffe000104a464946000101000001 in:0707070909080a0c140d0c0b0b0c1912 cmacReg:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx encrypted:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx bufFlg:1 messDone:0
cntr:18 flg:0 messAddra:  2 cmacAddra:  0 messIn:0707070909080a0c140d0c0b0b0c1912 cmacIn:ffd8ffe000104a464946000101000001 in:0707070909080a0c140d0c0b0b0c1912 cmacReg:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx encrypted:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx bufFlg:1 messDone:0
cntr:19 flg:0 messAddra:  2 cmacAddra:  0 messIn:0707070909080a0c140d0c0b0b0c1912 cmacIn:ffd8ffe000104a464946000101000001 in:0707070909080a0c140d0c0b0b0c1912 cmacReg:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx encrypted:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx bufFlg:1 messDone:0
cntr:20 flg:0 messAddra:  2 cmacAddra:  0 messIn:0707070909080a0c140d0c0b0b0c1912 cmacIn:ffd8ffe000104a464946000101000001 in:0707070909080a0c140d0c0b0b0c1912 cmacReg:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx encrypted:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx bufFlg:1 messDone:0
cntr:21 flg:0 messAddra:  2 cmacAddra:  0 messIn:0707070909080a0c140d0c0b0b0c1912 cmacIn:ffd8ffe000104a464946000101000001 in:0707070909080a0c140d0c0b0b0c1912 cmacReg:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx encrypted:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx bufFlg:1 messDone:0
cntr:22 flg:0 messAddra:  2 cmacAddra:  0 messIn:0707070909080a0c140d0c0b0b0c1912 cmacIn:ffd8ffe000104a464946000101000001 in:0707070909080a0c140d0c0b0b0c1912 cmacReg:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx encrypted:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx bufFlg:1 messDone:0
cntr:23 flg:0 messAddra:  2 cmacAddra:  0 messIn:0707070909080a0c140d0c0b0b0c1912 cmacIn:ffd8ffe000104a464946000101000001 in:0707070909080a0c140d0c0b0b0c1912 cmacReg:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx encrypted:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx bufFlg:1 messDone:0
cntr:24 flg:0 messAddra:  2 cmacAddra:  0 messIn:0707070909080a0c140d0c0b0b0c1912 cmacIn:ffd8ffe000104a464946000101000001 in:0707070909080a0c140d0c0b0b0c1912 cmacReg:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx encrypted:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx bufFlg:1 messDone:0
