Sample in Buffer,Sample in Window,TRIGGER,addra[8:0],encrypted128[127:0],reset_1,decrypted_data
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,Decrypted Data
54,54,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
55,55,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
56,56,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
57,57,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
58,58,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
59,59,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
60,60,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
61,61,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
62,62,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
63,63,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
64,64,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
65,65,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
66,66,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
67,67,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
68,68,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
69,69,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
70,70,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
71,71,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
72,72,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
73,73,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
74,74,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
75,75,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
76,76,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
77,77,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
78,78,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
79,79,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
80,80,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
81,81,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
82,82,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
83,83,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
84,84,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
85,85,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
86,86,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
87,87,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
88,88,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
89,89,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
90,90,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
91,91,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
92,92,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
93,93,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
94,94,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
95,95,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
96,96,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
97,97,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
98,98,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
99,99,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
100,100,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
101,101,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
102,102,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
103,103,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
104,104,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
105,105,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
106,106,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
107,107,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
108,108,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
109,109,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
110,110,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
111,111,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
112,112,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
113,113,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
114,114,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
115,115,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
116,116,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
117,117,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
118,118,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
119,119,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
120,120,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
121,121,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
122,122,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
123,123,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
124,124,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
125,125,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
126,126,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
127,127,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
128,128,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
129,129,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
130,130,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
131,131,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
132,132,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
133,133,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
134,134,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
135,135,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
136,136,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
